CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Ratio_Balance_Salary,Ratio_Balance_Age,Ratio_Salary_Age,Engagement_Score,Ratio_Products_Age,Relative_Salary,Ratio_CreditScore_Age,Zero_Balance_HasCrCard,Low_Balance_Active,Active_HasCrCard,Log_Salary
608.0,France,Female,30.0,10.0,0.0,2.0,1.0,1.0,146723.72,0,0.0,0.0,4890.790666666667,4.0,0.06666666666666667,1.2566123952869017,20.266666666666666,True,True,1.0,11.8963134570928
539.0,France,Female,32.0,8.0,0.0,1.0,1.0,1.0,94873.6,0,0.0,0.0,2964.8,3.0,0.03125,0.8125430690108689,16.84375,True,True,1.0,11.460311298615261
613.0,France,Female,45.0,10.0,0.0,2.0,1.0,1.0,116748.14,0,0.0,0.0,2594.4031111111112,4.0,0.044444444444444446,0.9998871337960252,13.622222222222222,True,True,1.0,11.66778280933699
656.0,France,Male,33.0,7.0,98899.76,1.0,1.0,0.0,123597.93,0,0.8001732715102915,2996.9624242424243,3745.391818181818,2.0,0.030303030303030304,1.0585520246474311,19.87878787878788,False,False,0.0,11.724797167010326
704.0,Spain,Female,49.0,9.0,80793.58,1.0,1.0,0.0,101371.72,0,0.7970031484125948,1648.8485714285714,2068.810612244898,2.0,0.02040816326530612,0.8705130168507541,14.36734693877551,False,False,0.0,11.526559300412636
681.0,Germany,Male,34.0,9.0,117799.28,2.0,1.0,1.0,120736.04,0,0.975676194117349,3464.684705882353,3551.06,4.0,0.058823529411764705,1.0239770360271543,20.029411764705884,False,False,1.0,11.701370236562083
683.0,Spain,Female,46.0,3.0,0.0,2.0,1.0,1.0,98810.78,0,0.0,0.0,2148.060434782609,4.0,0.043478260869565216,0.8485213646880625,14.847826086956522,True,True,1.0,11.500972107397766
689.0,France,Male,32.0,6.0,0.0,1.0,1.0,1.0,141453.62,0,0.0,0.0,4420.425625,3.0,0.03125,1.2114767281677643,21.53125,True,True,1.0,11.859734237914253
744.0,Germany,Female,38.0,8.0,132906.88,2.0,1.0,1.0,141756.32,0,0.937572871530525,3497.5494736842106,3730.4294736842107,4.0,0.05263157894736842,1.2022525866486662,19.57894736842105,False,False,1.0,11.861871860468328
717.0,Spain,Male,47.0,0.0,109733.4,1.0,1.0,1.0,172363.41,0,0.6366397601439887,2334.7531914893616,3667.306595744681,3.0,0.02127659574468085,1.4801425095064327,15.25531914893617,False,False,1.0,12.057366177385285
708.0,France,Male,38.0,5.0,141675.23,2.0,1.0,1.0,52327.57,0,2.7074681663987072,3728.2955263157896,1377.0413157894736,4.0,0.05263157894736842,0.4481584373490736,18.63157894736842,False,False,1.0,10.865297772411564
724.0,France,Male,47.0,1.0,0.0,2.0,1.0,0.0,141863.77,0,0.0,0.0,3018.378085106383,3.0,0.0425531914893617,1.2149894497231264,15.404255319148936,True,False,0.0,11.86262955889119
775.0,France,Male,38.0,3.0,0.0,1.0,1.0,1.0,131768.98,0,0.0,0.0,3467.6047368421055,3.0,0.02631578947368421,1.128532820612181,20.394736842105264,True,True,1.0,11.78881310575967
553.0,France,Female,31.0,8.0,96949.81,2.0,1.0,0.0,123613.81,0,0.7842959455743659,3127.4132258064515,3987.542258064516,3.0,0.06451612903225806,1.0586880285930589,17.838709677419356,False,False,0.0,11.724925638834117
683.0,France,Female,40.0,1.0,0.0,1.0,1.0,0.0,51670.82,0,0.0,0.0,1291.7705,2.0,0.025,0.44253371497559046,17.075,True,False,0.0,10.852667844194862
705.0,France,Female,42.0,5.0,0.0,2.0,1.0,0.0,12761.92,0,0.0,0.0,303.8552380952381,3.0,0.047619047619047616,0.10929921119543463,16.785714285714285,True,False,0.0,9.454299370844264
607.0,France,Male,39.0,7.0,0.0,2.0,1.0,0.0,172576.43,0,0.0,0.0,4425.036666666667,3.0,0.05128205128205128,1.478027418282213,15.564102564102564,True,False,0.0,12.058601284306961
762.0,Spain,Male,32.0,1.0,0.0,2.0,1.0,1.0,161668.15,0,0.0,0.0,5052.1296875,4.0,0.0625,1.3882987186680884,23.8125,True,True,1.0,11.993307241958277
744.0,France,Male,33.0,5.0,0.0,2.0,1.0,0.0,83052.03,0,0.0,0.0,2516.728181818182,3.0,0.06060606060606061,0.7112974667745584,22.545454545454547,True,False,0.0,11.32723459842167
687.0,Spain,Male,40.0,6.0,0.0,2.0,1.0,1.0,112777.38,0,0.0,0.0,2819.4345000000003,4.0,0.05,0.9684572511576591,17.175,True,True,1.0,11.633179933009027
528.0,France,Female,37.0,5.0,0.0,2.0,1.0,0.0,83478.12,0,0.0,0.0,2256.165405405405,3.0,0.05405405405405406,0.7149467061443603,14.27027027027027,True,False,0.0,11.332351819688522
596.0,France,Female,27.0,8.0,0.0,1.0,1.0,0.0,54776.64,0,0.0,0.0,2028.7644444444445,2.0,0.037037037037037035,0.46913344888044217,22.074074074074073,True,False,0.0,10.911037360472463
558.0,Germany,Male,51.0,2.0,108166.09,2.0,1.0,1.0,19199.61,0,5.633764956684016,2120.903725490196,376.4629411764706,4.0,0.0392156862745098,0.1628342269688265,10.941176470588236,False,False,1.0,9.862697328344524
686.0,France,Male,35.0,1.0,0.0,2.0,1.0,1.0,52319.26,0,0.0,0.0,1494.836,4.0,0.05714285714285714,0.4480872665185846,19.6,True,True,1.0,10.865138955537693
678.0,France,Female,32.0,8.0,164852.89,1.0,1.0,1.0,142911.99,0,1.1535273562421182,5151.6528125,4465.9996875,3.0,0.03125,1.223966909161775,21.1875,False,False,1.0,11.869991262515738
554.0,France,Female,32.0,7.0,0.0,1.0,1.0,0.0,183682.09,0,0.0,0.0,5740.0653125,2.0,0.03125,1.5731416234962161,17.3125,True,False,0.0,12.12096721470703
581.0,France,Male,35.0,5.0,0.0,2.0,1.0,1.0,72375.03,0,0.0,0.0,2067.858,4.0,0.05714285714285714,0.6198545116444796,16.6,True,True,1.0,11.189630446207536
706.0,France,Male,21.0,4.0,0.0,2.0,1.0,1.0,52314.71,0,0.0,0.0,2491.1766666666667,4.0,0.09523809523809523,0.4480482981336598,33.61904761904762,True,True,1.0,10.865051987356429
628.0,Spain,Male,40.0,2.0,0.0,2.0,1.0,0.0,179866.01,0,0.0,0.0,4496.650250000001,3.0,0.05,1.5445698563071428,15.7,True,False,0.0,12.099973023467156
749.0,France,Female,34.0,3.0,0.0,2.0,1.0,0.0,75927.35,0,0.0,0.0,2233.1573529411767,3.0,0.058823529411764705,0.6502782859600815,22.029411764705884,True,False,0.0,11.23754541142988
582.0,France,Female,36.0,2.0,0.0,2.0,1.0,0.0,177834.79,0,0.0,0.0,4939.855277777778,3.0,0.05555555555555555,1.5230625384037644,16.166666666666668,True,False,0.0,12.088615875393407
642.0,Germany,Male,33.0,5.0,102788.53,2.0,1.0,0.0,145558.42,0,0.7061668435257815,3114.8039393939393,4410.861212121213,3.0,0.06060606060606061,1.2344986590615004,19.454545454545453,False,False,0.0,11.888339667107001
